pipeline,B cells,CD14 Monocytes,CD16 Monocytes,Memory T cells,NK/Effector T cells,Naive CD4 T cells,Naive CD8 T cells,overall,accu_average,k value
Seurat(WNN),0.6756756756756757,0.7580246913580246,0.2571428571428571,0.5357142857142857,0.6163522012578616,0.2455357142857142,0.1506849315068493,0.496407576747224,0.22305760241968664,10
Unioncom,0.4054054054054054,0.4691358024691358,0.0,0.8701298701298701,0.1509433962264151,0.2276785714285714,0.365296803652968,0.4297844546048334,0.257711216087015,10
scBridge,0.945945945945946,0.9481481481481482,0.0476190476190476,0.75,0.9559748427672956,0.5982142857142857,0.8904109589041096,0.7877204441541477,0.30573795917978863,10
scDART,0.945945945945946,0.9851851851851852,0.5428571428571428,0.8474025974025974,0.9371069182389936,0.8258928571428571,0.867579908675799,0.8791639451338994,0.13643491804575159,10
scJoint,0.990990990990991,0.9975308641975308,0.019047619047619,0.974025974025974,0.949685534591195,0.7053571428571429,0.8538812785388128,0.8569562377531026,0.32693852587671685,10
scMoMaT,0.90990990990991,0.8790123456790123,0.2,0.8246753246753247,0.8553459119496856,0.9107142857142856,0.771689497716895,0.8105813193990856,0.2348925959798053,10
scVI,1.0,0.9604938271604938,0.8285714285714286,0.9675324675324676,1.0,0.8839285714285714,0.9726027397260274,0.9503592423252776,0.059575298779952934,10
scglue,1.0,0.9851851851851852,0.7238095238095238,0.8896103896103896,0.9874213836477987,0.8616071428571429,0.9771689497716894,0.930111038536904,0.09354449114000965,10
scglue(multiome),1.0,0.9753086419753086,0.8095238095238095,0.9188311688311688,0.9685534591194968,0.9196428571428572,0.9817351598173516,0.9464402351404312,0.06010054950043287,10
simba,0.963963963963964,0.9308641975308642,0.5619047619047619,0.8896103896103896,0.9245283018867924,0.78125,0.8858447488584474,0.8706727629000653,0.1285300643492274,10
BindSC,0.963963963963964,0.9209876543209876,0.6952380952380952,0.9415584415584416,0.9433962264150944,0.7633928571428571,0.8995433789954338,0.8889614630960156,0.09599779730653393,20
Cobolt,0.981981981981982,0.9185185185185184,0.580952380952381,0.6136363636363636,0.9245283018867924,0.6026785714285714,0.3150684931506849,0.7067276290006531,0.22575347909746507,20
Conos,0.9818181818181818,0.9901234567901236,0.019047619047619,0.935064935064935,0.9182389937106918,0.8839285714285714,0.1187214611872146,0.7640522875816993,0.3966800344380072,20
LIGER,0.981981981981982,0.9703703703703704,0.3619047619047619,0.7954545454545454,0.981132075471698,0.4017857142857143,0.6757990867579908,0.7700849118223383,0.24908208990432165,20
MinNet,1.0,0.9506172839506172,0.5714285714285714,0.8993506493506493,0.9874213836477987,0.5044642857142857,0.9041095890410958,0.8497713912475506,0.18949430615933055,20
MultiMAP,0.3603603603603603,0.8074074074074075,0.1333333333333333,0.6915584415584416,0.4654088050314465,0.125,0.1872146118721461,0.4813847158719791,0.2531866359240448,20
Portal,0.972972972972973,0.94320987654321,0.7523809523809524,0.8214285714285714,0.981132075471698,0.8571428571428571,0.9452054794520548,0.8994121489222731,0.08063954805356442,20
Seurat(CCA),0.927927927927928,0.9308641975308642,0.7142857142857143,0.8181818181818182,0.9308176100628932,0.9642857142857144,0.9406392694063926,0.8994121489222731,0.08357141365297756,20
Seurat(WNN),0.6936936936936937,0.7604938271604939,0.2571428571428571,0.5357142857142857,0.6163522012578616,0.2321428571428571,0.1506849315068493,0.496407576747224,0.22795219066266428,20
Unioncom,0.4054054054054054,0.454320987654321,0.0,0.8831168831168831,0.2389937106918239,0.3258928571428571,0.4337899543378995,0.4617896799477465,0.24740077482712422,20
scBridge,0.945945945945946,0.9604938271604938,0.0285714285714285,0.75,0.9245283018867924,0.5982142857142857,0.8904109589041096,0.7864141084258655,0.310088120367678,20
scDART,0.945945945945946,0.9851851851851852,0.5714285714285714,0.8831168831168831,0.9371069182389936,0.8705357142857143,0.8493150684931506,0.8922273024167211,0.12703394062106224,20
scJoint,0.990990990990991,0.9975308641975308,0.019047619047619,0.974025974025974,0.949685534591195,0.7053571428571429,0.8538812785388128,0.8569562377531026,0.32693852587671685,20
scMoMaT,0.90990990990991,0.8716049382716049,0.2,0.8116883116883117,0.8427672955974843,0.8794642857142857,0.7899543378995434,0.8027433050293925,0.23089553328609685,20
scVI,1.0,0.965432098765432,0.819047619047619,0.961038961038961,1.0,0.9017857142857144,0.9680365296803652,0.9516655780535598,0.05974572403611956,20
scglue,1.0,0.9876543209876544,0.7142857142857143,0.9025974025974026,0.981132075471698,0.8794642857142857,0.9726027397260274,0.9340300457217504,0.0939185939361463,20
scglue(multiome),1.0,0.9777777777777776,0.7904761904761904,0.9090909090909092,0.9559748427672956,0.9330357142857144,0.9771689497716894,0.9438275636838668,0.06528515745972553,20
simba,0.963963963963964,0.9358024691358025,0.580952380952381,0.8863636363636364,0.9245283018867924,0.7767857142857143,0.8858447488584474,0.8719790986283474,0.12320474242452636,20
BindSC,0.963963963963964,0.928395061728395,0.6857142857142857,0.948051948051948,0.9433962264150944,0.7857142857142857,0.91324200913242,0.8967994774657086,0.09693420207883396,40
Cobolt,0.981981981981982,0.925925925925926,0.6285714285714286,0.6233766233766234,0.9245283018867924,0.6383928571428571,0.2831050228310502,0.7145656433703462,0.22926522065008936,40
Conos,0.9818181818181818,0.9901234567901236,0.019047619047619,0.9318181818181818,0.9119496855345912,0.8928571428571429,0.1187214611872146,0.7640522875816993,0.3965239681193892,40
LIGER,0.981981981981982,0.9753086419753086,0.3523809523809524,0.7662337662337663,0.981132075471698,0.34375,0.726027397260274,0.7635532331809275,0.26181019631731384,40
MinNet,1.0,0.9308641975308642,0.6095238095238096,0.8896103896103896,0.9874213836477987,0.5357142857142857,0.8949771689497716,0.8484650555192684,0.17181254171375474,40
MultiMAP,0.3603603603603603,0.8074074074074075,0.1333333333333333,0.6915584415584416,0.4654088050314465,0.1205357142857142,0.1872146118721461,0.480731548007838,0.25387253375160984,40
Portal,0.972972972972973,0.94320987654321,0.7047619047619048,0.8246753246753247,0.9685534591194968,0.8392857142857143,0.9497716894977168,0.8935336381450033,0.09297399098299841,40
Seurat(CCA),0.927927927927928,0.9333333333333332,0.7047619047619048,0.814935064935065,0.9245283018867924,0.9642857142857144,0.9406392694063926,0.8981058131939909,0.086589584457966,40
Seurat(WNN),0.6936936936936937,0.7604938271604939,0.2571428571428571,0.5324675324675324,0.6163522012578616,0.2276785714285714,0.1506849315068493,0.4951012410189419,0.22846004654318985,40
Unioncom,0.4054054054054054,0.4444444444444444,0.0,0.8766233766233766,0.2327044025157232,0.3794642857142857,0.45662100456621,0.4683213585891574,0.24517825443819977,40
scBridge,0.945945945945946,0.9679012345679012,0.0380952380952381,0.7402597402597403,0.9119496855345912,0.5625,0.8904109589041096,0.7805355976485957,0.30904470072941587,40
scDART,0.945945945945946,0.982716049382716,0.5714285714285714,0.8798701298701299,0.9308176100628932,0.8839285714285714,0.8493150684931506,0.8922273024167211,0.12634062109022517,40
scJoint,0.990990990990991,0.9975308641975308,0.019047619047619,0.974025974025974,0.949685534591195,0.7053571428571429,0.8538812785388128,0.8569562377531026,0.32693852587671685,40
scMoMaT,0.918918918918919,0.8666666666666667,0.1428571428571428,0.8181818181818182,0.8364779874213837,0.8794642857142857,0.7853881278538812,0.798171129980405,0.25097156563592504,40
scVI,1.0,0.9679012345679012,0.8,0.9545454545454546,1.0,0.90625,0.958904109589041,0.9490529065969956,0.06467305006692578,40
scglue,1.0,0.9901234567901236,0.6857142857142857,0.9155844155844156,0.9748427672955976,0.8705357142857143,0.9726027397260274,0.9333768778576094,0.10303560358196806,40
scglue(multiome),1.0,0.980246913580247,0.780952380952381,0.8961038961038961,0.9559748427672956,0.9241071428571428,0.9817351598173516,0.9405617243631612,0.06986001613223829,40
simba,0.963963963963964,0.9333333333333332,0.5523809523809524,0.8701298701298701,0.9245283018867924,0.7901785714285714,0.8767123287671232,0.8667537557152188,0.1301353132207539,40
BindSC,0.963963963963964,0.9308641975308642,0.6571428571428571,0.9512987012987012,0.949685534591195,0.7633928571428571,0.9178082191780822,0.8941868060091444,0.10965743548060773,80
Cobolt,0.981981981981982,0.9234567901234568,0.6095238095238096,0.6331168831168831,0.9245283018867924,0.7321428571428571,0.1963470319634703,0.7158719790986283,0.2523485107842063,80
Conos,0.9818181818181818,0.9901234567901236,0.019047619047619,0.9383116883116884,0.9119496855345912,0.9017857142857144,0.1689497716894977,0.7738562091503268,0.38761462424711074,80
LIGER,0.981981981981982,0.9777777777777776,0.3047619047619048,0.7142857142857143,0.981132075471698,0.2991071428571428,0.7853881278538812,0.752449379490529,0.28212277625046583,80
MinNet,1.0,0.925925925925926,0.6285714285714286,0.8896103896103896,0.9874213836477987,0.4866071428571428,0.9360730593607306,0.8471587197909863,0.18357601859612288,80
MultiMAP,0.3603603603603603,0.8074074074074075,0.1333333333333333,0.6915584415584416,0.4654088050314465,0.1160714285714285,0.1917808219178082,0.480731548007838,0.2540395326594573,80
Portal,0.981981981981982,0.9530864197530864,0.6857142857142857,0.8181818181818182,0.9874213836477987,0.8125,0.954337899543379,0.8928804702808621,0.10608245725545215,80
Seurat(CCA),0.927927927927928,0.9333333333333332,0.6857142857142857,0.8051948051948052,0.9245283018867924,0.9553571428571428,0.9406392694063926,0.8935336381450033,0.09242746405237826,80
Seurat(WNN),0.6936936936936937,0.7604938271604939,0.2571428571428571,0.5324675324675324,0.6163522012578616,0.2276785714285714,0.1506849315068493,0.4951012410189419,0.22846004654318985,80
Unioncom,0.4144144144144144,0.437037037037037,0.0,0.8766233766233766,0.2075471698113207,0.4732142857142857,0.4246575342465753,0.473546701502286,0.2483072738744344,80
scBridge,0.954954954954955,0.9604938271604938,0.0380952380952381,0.7402597402597403,0.9182389937106918,0.5357142857142857,0.8904109589041096,0.7759634225996082,0.3118481800296444,80
scDART,0.945945945945946,0.9851851851851852,0.5714285714285714,0.8863636363636364,0.9308176100628932,0.8973214285714286,0.8584474885844748,0.8974526453298498,0.12705273818647825,80
scJoint,0.990990990990991,0.9975308641975308,0.019047619047619,0.974025974025974,0.949685534591195,0.7053571428571429,0.8538812785388128,0.8569562377531026,0.32693852587671685,80
scMoMaT,0.918918918918919,0.8641975308641975,0.1142857142857142,0.801948051948052,0.8427672955974843,0.8794642857142857,0.8127853881278538,0.7968647942521228,0.26122781399432143,80
scVI,1.0,0.9728395061728397,0.780952380952381,0.9448051948051948,1.0,0.9107142857142856,0.9497716894977168,0.9464402351404312,0.07019188447364307,80
scglue,1.0,0.9925925925925926,0.6571428571428571,0.9155844155844156,0.9685534591194968,0.875,0.9726027397260274,0.9320705421293272,0.1117671386958815,80
scglue(multiome),1.0,0.9851851851851852,0.7523809523809524,0.8896103896103896,0.9622641509433962,0.9107142857142856,0.9863013698630136,0.937949052906597,0.08073662959713733,80
simba,0.963963963963964,0.9358024691358025,0.5428571428571428,0.8668831168831169,0.9245283018867924,0.7991071428571429,0.8721461187214612,0.8667537557152188,0.1327301413472538,80
