method,celltype,ks_celltype,ks_sample,ks_inter_celltype,celltype_omics_ASW
scBridge,CD4+ T activated,0.7997402063933532,0.7821816059473675,0.7864684129370676,0.8930940236576898
scBridge,Erythroblast,0.8598952381881113,0.8415094721037768,0.833766936125927,0.842983819490382
scBridge,NK,0.9602426894099793,0.9436580935103833,0.9546804959068169,0.9519681419835122
scBridge,Transitional B,0.9222468790287699,0.8943386429454954,0.9173832373347394,0.8944956779747958
scBridge,Normoblast,0.9124299774296587,0.9068656108717487,0.9106841312287695,0.8636944048637579
scBridge,G/M prog,0.7922349863245506,0.6255820910222232,0.5985062705623239,0.8147479958367235
scBridge,MK/E prog,0.878839709904977,0.7552364947064478,0.814714145838274,0.8575928581382062
scBridge,HSC,0.8631642931229179,0.7794175331267666,0.796008420238829,0.797614253558898
scBridge,pDC,0.8743419220621589,0.882609432777023,0.8755307185630722,0.787150799037447
scBridge,Proerythroblast,0.8257716577319061,0.7159128914006034,0.6977499449780358,0.8361433354494673
scBridge,Plasma cell,0.8770983597641794,0.8656654352031805,0.8630406588667802,0.8132287037438
scVI,Naive CD20+ B,0.8654705066375025,0.7537397698305581,0.8328483796465461,0.9173997389411276
scVI,CD14+ Mono,0.8158975031890492,0.6370843007229955,0.7727947384729343,0.9317789750100364
scVI,CD8+ T,0.6372155297933261,0.44799526062583467,0.6069779812864861,0.9444215339775204
scVI,CD16+ Mono,0.8613134198500041,0.7701229572107093,0.8485688955857349,0.8942942340282631
scVI,B1 B,0.8528626652111222,0.7175241140921103,0.8008094155076211,0.9061736475499528
scVI,Lymph prog,0.7803160851699507,0.2922055535116197,0.5543966901359638,0.8418620587314767
scVI,CD4+ T naive,0.7234391755325676,0.33482091817184284,0.5377342950676497,0.9493230260630113
scVI,CD4+ T activated,0.6728540884311967,0.5061748465010663,0.6380599551827209,0.9443250841505438
scVI,Erythroblast,0.8146410183445014,0.7235128751600856,0.8052621072618632,0.920500383785373
scVI,NK,0.8168627836094561,0.645273919924898,0.7732141008166016,0.9419901943796876
scVI,Transitional B,0.776458527866567,0.6822128222938854,0.8156452714581417,0.9196694345350258
scVI,Normoblast,0.9226270757788078,0.8893120987857318,0.9092935668743426,0.8740543992894527
scVI,G/M prog,0.8335360885311974,0.5615946688259432,0.7116859485090313,0.9276550503322071
scVI,MK/E prog,0.8891702305449939,0.8051881937737442,0.8586152236624108,0.8986877426169417
scVI,HSC,0.8947778525361076,0.7883532364879016,0.8541848250568805,0.8580412386506294
scVI,pDC,0.8823263479128503,0.8282252444161621,0.8475055556051564,0.896709524095638
scVI,Proerythroblast,0.8111070826511353,0.732486449550006,0.794692147597897,0.9133759058439336
scVI,Plasma cell,0.8734065371247682,0.8397987456657129,0.8580523578124921,0.919892341166111
scButterfly,Naive CD20+ B,0.8925783428469525,0.8925429352699801,0.9051616251564408,0.8738421452863061
scButterfly,CD14+ Mono,0.9333624639493403,0.9265894801762576,0.9351190097608434,0.8827411390756669
scButterfly,CD8+ T,0.5308589993940321,0.48871403135563585,0.521886649273035,0.9140478272916875
scButterfly,CD16+ Mono,0.7861013996838329,0.7476787669946653,0.765630299165483,0.8917094377122062
scButterfly,B1 B,0.8513960506910339,0.8349442502841963,0.8496665276603823,0.8688816740767294
scButterfly,Lymph prog,0.8018275736499019,0.691602037595772,0.7348323368801027,0.8422873268867902
scButterfly,CD4+ T naive,0.7717885985420241,0.7554475010965125,0.7594873589297927,0.8988597767486023
scButterfly,CD4+ T activated,0.7650991469064203,0.7438095712464963,0.763443413713832,0.9280861135006013
scButterfly,Erythroblast,0.9194007021704913,0.9110411178044456,0.9262898127480961,0.8630092319039058
scButterfly,NK,0.6978708322997931,0.6684224320268021,0.7146643433491775,0.8905925013117167
scButterfly,Transitional B,0.818774496087278,0.8241079096459977,0.8405328469359519,0.8764525496524105
scButterfly,Normoblast,0.8890048121976847,0.8890098593667501,0.8857527211468479,0.8831617965408872
scButterfly,G/M prog,0.8262104426659278,0.6883380942411583,0.68839316058884,0.8750922899414175
scButterfly,MK/E prog,0.8783886142850683,0.8456793884249753,0.8309539161666146,0.7866442538565546
scButterfly,HSC,0.8642945121981245,0.8325891931532854,0.835721394340094,0.8304880984819119
scButterfly,pDC,0.7689312886756797,0.7622007043298207,0.7834219676826939,0.9019468991128763
scButterfly,Proerythroblast,0.8669854128397348,0.8721594881040308,0.8409450562916925,0.8978845605368696
scButterfly,Plasma cell,0.7138613227522417,0.7328636559313698,0.6961381774535835,0.8936566947218676
scDART,Naive CD20+ B,0.790573752080506,0.7789665465257127,0.22708705751009617,0.8551955343190442
scDART,CD14+ Mono,0.7096960900354359,0.6840261247653534,0.02085242838619683,0.8823559284622351
scDART,CD8+ T,0.5782140710518653,0.518242442454064,0.0824025550477211,0.8567219580379948
scDART,CD16+ Mono,0.49760913163675613,0.43601255986639864,0.00015499522031892088,0.8518969552522399
scDART,B1 B,0.6965783214567237,0.677078264004358,0.381386715805716,0.834117817698059
scDART,Lymph prog,0.6087621703225402,0.37100914402468216,0.3676089669150282,0.8298915423781393
scDART,CD4+ T naive,0.6250691604067375,0.5753546440148903,0.30930989808434095,0.8656980706761054
scDART,CD4+ T activated,0.6685433666141766,0.6037081952852461,0.2893937909304235,0.841729813426999
scDART,Erythroblast,0.8558391881209441,0.8341742416774653,0.3818132665599598,0.9032941611488553
scDART,NK,0.6987897337675149,0.664238186542838,0.0010859686555074743,0.8558586042692854
scDART,Transitional B,0.6658812475457289,0.6536014400557213,0.5306535282488909,0.8450231394634836
scDART,Normoblast,0.8493181105057579,0.8284341719641198,0.4989082883329835,0.89616050651718
scDART,G/M prog,0.6081602095483759,0.41968659741337283,0.1713889328015823,0.8089136113375194
scDART,MK/E prog,0.6557605252062233,0.5670220853927507,0.25257390624348713,0.8420997618173384
scDART,HSC,0.5642576493328109,0.4842727188242841,0.2677127764857896,0.8716864281214237
scDART,pDC,0.4759750185691043,0.4270525011750605,0.17631193162374936,0.8763514870068883
scDART,Proerythroblast,0.790455867921221,0.7646988375657895,0.21648483899508641,0.9153308842185217
scDART,Plasma cell,0.5449486517623513,0.5537431776045731,0.4855197868976601,0.8888452907341722
scglue,Naive CD20+ B,0.9085483325698784,0.8920463553406095,0.90926587435186,0.9446697277059558
scglue,CD14+ Mono,0.9200245315950367,0.8961876566555423,0.9132170080412818,0.937304426167261
scglue,CD8+ T,0.7151896072373087,0.6409933392758482,0.7162517212459885,0.9543083506170539
scglue,CD16+ Mono,0.8739381098285891,0.8440442357719149,0.8472240240883153,0.9084594797445918
scglue,B1 B,0.8790648341437951,0.84667560551374,0.870312568896125,0.9433256165006759
scglue,Lymph prog,0.8414492532987677,0.43769628200894917,0.6512399099857495,0.9164943402120892
scglue,CD4+ T naive,0.7786052967765138,0.6010453696403896,0.7148323881226293,0.9391506094386071
scglue,CD4+ T activated,0.7538296513822689,0.673783743622906,0.7516079992817184,0.9551425242313227
scglue,Erythroblast,0.8892634385105943,0.8712913903843581,0.8835126649205368,0.9267071078846718
scglue,NK,0.8273806172222348,0.7736643281403908,0.805230803996932,0.938178006091618
scglue,Transitional B,0.8798011219502901,0.867642853155408,0.9089977543776251,0.9029864764635266
scglue,Normoblast,0.9277160384744226,0.9073200547513844,0.924900399528598,0.9455229182764885
scglue,G/M prog,0.8781929640286198,0.6676513818412141,0.7347132193478998,0.9223823522198255
scglue,MK/E prog,0.9325349860384089,0.8952616734145047,0.9184459864158755,0.9194790372145953
scglue,HSC,0.9429760520037315,0.9203053646412399,0.9376025973951784,0.9048891296823446
scglue,pDC,0.951759215611669,0.9482324154311053,0.9624721033001943,0.8928261096207701
scglue,Proerythroblast,0.8448332997563716,0.8392135081172708,0.8368056244515628,0.9065273267119482
scglue,Plasma cell,0.8992029990249695,0.8962220664287952,0.9063752092311418,0.9367637107687439
scglue(multiome),Naive CD20+ B,0.9134717715830647,0.9039683824206997,0.9217940129019825,0.9285494351212153
scglue(multiome),CD14+ Mono,0.9296296786240389,0.912293857505621,0.927381213511137,0.9411200982243069
scglue(multiome),CD8+ T,0.6991049425722967,0.6321698861657341,0.7022422066296107,0.9396015922527751
scglue(multiome),CD16+ Mono,0.8631538342401225,0.8373780991192186,0.8550851594263801,0.9256962457262669
scglue(multiome),B1 B,0.8748961112087061,0.8378455259458767,0.8631737553002307,0.9442391782812937
scglue(multiome),Lymph prog,0.8375916094366075,0.43873349665238,0.6466516287740225,0.9140962724696513
scglue(multiome),CD4+ T naive,0.7905280330184993,0.6520218701278573,0.7316505246228798,0.9312564297789782
scglue(multiome),CD4+ T activated,0.7773065767023155,0.7103604432346384,0.7695120959345084,0.944523857017858
scglue(multiome),Erythroblast,0.8985215090311506,0.8850606934961585,0.889290195774744,0.9248967770905305
scglue(multiome),NK,0.8199130567593487,0.7990204228268448,0.8271361953567699,0.9392842232121305
scglue(multiome),Transitional B,0.8723045249823561,0.8632177905286413,0.8956756271945914,0.8937057665767063
scglue(multiome),Normoblast,0.9245028960089299,0.916454387672822,0.9244173708943955,0.9338766742141226
scglue(multiome),G/M prog,0.8798252730036386,0.6619464541513733,0.7279416642481122,0.9025834447709328
scglue(multiome),MK/E prog,0.92692331790668,0.8975109505997706,0.9200535117154517,0.9082794226511612
scglue(multiome),HSC,0.9389814002603147,0.9065418270965331,0.9321197676727531,0.8726197110767756
scglue(multiome),pDC,0.946720457890831,0.9443539125484495,0.956798106512976,0.9174398038213566
scglue(multiome),Proerythroblast,0.8438563571414796,0.8416652457023057,0.8358424436693975,0.8999034402699325
scglue(multiome),Plasma cell,0.8839240636699923,0.8857177008499055,0.889733463863146,0.9613178160999307
scJoint,Naive CD20+ B,0.7773002508811716,0.7529884509049685,0.7739605511198717,0.9505427650985157
scJoint,CD14+ Mono,0.7920049016376371,0.789176508855773,0.8382349690423757,0.9316476216152962
scJoint,CD8+ T,0.5930973888639582,0.5611171756113783,0.5163230207909774,0.9465240826288496
scJoint,CD16+ Mono,0.6127432994071296,0.5920403346601865,0.3182232908740109,0.9540192308144311
scJoint,B1 B,0.715572378540124,0.6886259301265695,0.6954798150525725,0.9402633718393665
scJoint,Lymph prog,0.501684608105802,0.38719564572476234,0.40340410158508194,0.9244106067040593
scJoint,CD4+ T naive,0.5504710104727174,0.471793196779788,0.42379617493111194,0.9432933439784671
scJoint,CD4+ T activated,0.6536997400776993,0.6282173214496836,0.5650627433418374,0.9491251371983169
scJoint,Erythroblast,0.767521931381262,0.7387995275248707,0.6652579883900395,0.9471704378733097
scJoint,NK,0.9033530415161161,0.8879200690491817,0.8870951184404172,0.9148356792744765
scJoint,Transitional B,0.6691621559464574,0.6153418425528656,0.6572105200617998,0.9364011883820504
scJoint,Normoblast,0.7487909325011886,0.7248476108316215,0.4729294250949755,0.9585147750942086
scJoint,G/M prog,0.6091400937880632,0.5347164083552968,0.39598501044204665,0.9239851831007472
scJoint,MK/E prog,0.5072478353188528,0.4794502130707924,0.3041200903235828,0.9114091630104002
scJoint,HSC,0.5731665339557228,0.5405446183292328,0.43122088067738523,0.9457950916045386
scJoint,pDC,0.5008280831949293,0.4392672869545867,0.21909112184035118,0.9455262730257326
scJoint,Proerythroblast,0.6714928687010709,0.609774127943244,0.4612897204535454,0.9282399736273466
scJoint,Plasma cell,0.6041190982263123,0.5784903665990305,0.49618378838954763,0.9456938129131528
simba,Naive CD20+ B,0.880493494964021,0.8714175384561174,0.896803451176077,0.8176320300766727
simba,CD14+ Mono,0.9083242550365627,0.8830623825035703,0.9237097010388531,0.8069086312371359
simba,CD8+ T,0.6814714524793486,0.6297312773222428,0.7088222696383424,0.8485458419479499
simba,CD16+ Mono,0.8092608468428321,0.7946737095006096,0.7698992459472278,0.870394662878661
simba,B1 B,0.8470858331092982,0.8355726934592675,0.8534676147267883,0.8508631006486295
simba,Lymph prog,0.8005903939597591,0.46802250997051587,0.6328698619678564,0.7770976403630768
simba,CD4+ T naive,0.762715163506686,0.645686561566924,0.7733474386340329,0.7797326701546795
simba,CD4+ T activated,0.7653129106499202,0.7050500040613868,0.8041668700122566,0.7966509041477736
simba,Erythroblast,0.8830886817934639,0.8608187253729269,0.8684911962428796,0.8545123946130693
simba,NK,0.8536092108097622,0.8280954216883697,0.8683075977524337,0.8130768255112599
simba,Transitional B,0.8494826132648876,0.8231274038350953,0.8999028563729368,0.843432081934999
simba,Normoblast,0.900366676726779,0.8834852843200613,0.8609215599152058,0.9039959637471813
simba,G/M prog,0.8367527765765133,0.6881643457062582,0.7382705964481598,0.8326702728948615
simba,MK/E prog,0.8883402913411418,0.8227284584052093,0.8701713939266917,0.755554087032235
simba,HSC,0.8500525615811366,0.8222779900000804,0.8491728903728151,0.7600030713332356
simba,pDC,0.8545008844327311,0.8372454674975347,0.8510238495932835,0.905833051931587
simba,Proerythroblast,0.8077346237165938,0.8001062039840243,0.8015898831241318,0.8287253936547462
simba,Plasma cell,0.7834400591755711,0.7832961389462256,0.7681933185457759,0.855582528935681
BindSC(batch),Naive CD20+ B,0.8184998771894848,0.8304921060368128,0.8376265836111354,0.9429444912315347
BindSC(batch),CD14+ Mono,0.6445506978957979,0.623156395731429,0.6491042812587675,0.9334310228764378
BindSC(batch),CD8+ T,0.5858598210511415,0.5628082377772994,0.5894663106266873,0.9181527292041622
BindSC(batch),CD16+ Mono,0.8137431692735002,0.8176540627273823,0.8267817396489067,0.9217499435992522
BindSC(batch),B1 B,0.7782739380546535,0.798958016953361,0.8105214309378526,0.9369684047976836
BindSC(batch),Lymph prog,0.812314626641338,0.42150600570858154,0.6078560525560432,0.8849922293756557
BindSC(batch),CD4+ T naive,0.7082269966966912,0.5403609146569178,0.6061201664650312,0.9151046743354155
BindSC(batch),CD4+ T activated,0.62773110315548,0.5873237226836928,0.6130814348099971,0.9125740709114193
BindSC(batch),Erythroblast,0.8462980553667564,0.8347669337525571,0.8507729096147414,0.9277469869393847
BindSC(batch),NK,0.7352642290755995,0.7619636526187666,0.7889611963920709,0.9206854860883925
BindSC(batch),Transitional B,0.8093631127594273,0.8399464713713098,0.8405256867054519,0.894066988919864
BindSC(batch),Normoblast,0.8910252951261706,0.8809330157431832,0.8816105108252014,0.947415270814418
BindSC(batch),G/M prog,0.8145972437539588,0.637627283609484,0.6639329761897885,0.9015450664529836
BindSC(batch),MK/E prog,0.862841024470677,0.7813990913598691,0.7395142130832131,0.863625192577725
BindSC(batch),HSC,0.8982255324844797,0.8708338345882534,0.8665599292731252,0.8645202329928368
BindSC(batch),pDC,0.9258926464764979,0.9308760361608187,0.9239036409231883,0.9119261951044434
BindSC(batch),Proerythroblast,0.7943929881940732,0.770114367554442,0.7620888118102881,0.9333438838650545
BindSC(batch),Plasma cell,0.805704704851419,0.8218658497653752,0.8214695397372934,0.9209374522788222
scVI(batch),Naive CD20+ B,0.8866119286612872,0.8803279806682096,0.8956212242620204,0.9316456006203682
scVI(batch),CD14+ Mono,0.898433924514647,0.8802029615681652,0.9048719082413613,0.9369388296867807
scVI(batch),CD8+ T,0.6784426023376576,0.6681236834446383,0.6796863289876209,0.9434151427442862
scVI(batch),CD16+ Mono,0.8930931902420614,0.8906627976504625,0.8973026245511772,0.934570914360885
scVI(batch),B1 B,0.8523702078526094,0.8018826362587987,0.8271373098597026,0.9219904189297797
scVI(batch),Lymph prog,0.8002423698737574,0.4309978993299683,0.6178473280614593,0.8857180051916208
scVI(batch),CD4+ T naive,0.7845124831185246,0.6706938792828703,0.7327359403343955,0.9368451639569468
scVI(batch),CD4+ T activated,0.712356325414791,0.7013669411521481,0.7315591380509019,0.9498550812026997
scVI(batch),Erythroblast,0.8693309848776989,0.8505417625416513,0.8661016342659257,0.9068136791028796
scVI(batch),NK,0.8585034819570461,0.834986462387558,0.8530312520771599,0.9396503562431165
scVI(batch),Transitional B,0.8206296024774393,0.7921904667179012,0.8443978295151088,0.8773906328988107
scVI(batch),Normoblast,0.9297312771728121,0.9246953094434557,0.9289833951402607,0.9129794713536575
scVI(batch),G/M prog,0.8608520105982027,0.7382105536657181,0.7829264341566361,0.9123009631883116
scVI(batch),MK/E prog,0.904210137231895,0.8757949284474325,0.8929746498153476,0.8746478463765988
scVI(batch),HSC,0.9124793914076796,0.8723008373358039,0.8787748909015529,0.814293450888101
scVI(batch),pDC,0.8839166763474461,0.8821740932494804,0.8685446853266692,0.901331904770259
scVI(batch),Proerythroblast,0.807678764871838,0.8105388749553288,0.7987424111695863,0.8859330201115804
scVI(batch),Plasma cell,0.8774948088803362,0.8792855436306045,0.8634146917944325,0.9576112815853222
scglue(batch),Naive CD20+ B,0.9153885256638191,0.9119332157216286,0.9200137806888704,0.9347401458194624
scglue(batch),CD14+ Mono,0.9117144639891652,0.9080894187871543,0.914851490023838,0.944189078492973
scglue(batch),CD8+ T,0.7235793406482071,0.7032207225360211,0.7357693933295857,0.950759294787479
scglue(batch),CD16+ Mono,0.8876015365741128,0.8819598677467023,0.87361965492589,0.9115670986496431
scglue(batch),B1 B,0.8804469421422308,0.8512600074656467,0.866028749687548,0.9160914270691273
scglue(batch),Lymph prog,0.8298773592508002,0.44084423811489165,0.6398055387695263,0.9337176718294032
scglue(batch),CD4+ T naive,0.7751598984017374,0.6699854015154076,0.721155209140061,0.9527790317707888
scglue(batch),CD4+ T activated,0.76924344400612,0.7442501182004112,0.7688914568124904,0.9369194870863407
scglue(batch),Erythroblast,0.8886121598358413,0.874820971424183,0.8757062302186087,0.9236352614350624
scglue(batch),NK,0.8254545799095013,0.8341423814376177,0.8266188068309449,0.9202062033271367
scglue(batch),Transitional B,0.8869982438743328,0.8908833313669164,0.9113060406331757,0.8854678399110862
scglue(batch),Normoblast,0.9217166759722977,0.9065367048990355,0.9134628948799357,0.9401112920556906
scglue(batch),G/M prog,0.8821385451656952,0.6922804165273161,0.7501210016573259,0.8993183019620913
scglue(batch),MK/E prog,0.9309762492554029,0.897817890486764,0.9209405878771747,0.8902435272297624
scglue(batch),HSC,0.9416376549791124,0.919190121588548,0.9357952462476069,0.8716495731330781
scglue(batch),pDC,0.9367509665810758,0.9347985785718976,0.936455824942063,0.9333250391365125
scglue(batch),Proerythroblast,0.8404377473205626,0.8325652695324162,0.8344357887382781,0.8572872265019242
scglue(batch),Plasma cell,0.8971892100184307,0.9037604243165521,0.9057754832736882,0.9260263855720124
"scglue(multiome,batch)",Naive CD20+ B,0.9094408768065314,0.9044725443868226,0.9111406902920367,0.9666448267235355
"scglue(multiome,batch)",CD14+ Mono,0.9218944800076969,0.9175406825210952,0.9193157439281199,0.949648321656314
"scglue(multiome,batch)",CD8+ T,0.7240548242548022,0.7050966044480458,0.7303965578498202,0.943226602413078
"scglue(multiome,batch)",CD16+ Mono,0.8839357917828456,0.884197523932975,0.8798070919448066,0.9099804073135201
"scglue(multiome,batch)",B1 B,0.8824250309667097,0.8536880049824054,0.8684981032933184,0.9393437534088075
"scglue(multiome,batch)",Lymph prog,0.8424314098674934,0.48106415721339796,0.6528336708455746,0.9268579390270787
"scglue(multiome,batch)",CD4+ T naive,0.8027098907536759,0.7242573256819966,0.7618122170282022,0.9201592894632037
"scglue(multiome,batch)",CD4+ T activated,0.7812757294968445,0.7559244577899984,0.7774015559890047,0.9361413898755846
"scglue(multiome,batch)",Erythroblast,0.8998948365013344,0.8879855137192374,0.8878978521467233,0.9206645945798384
"scglue(multiome,batch)",NK,0.8393214987335629,0.8484069474248412,0.8514044658999499,0.924682772884765
"scglue(multiome,batch)",Transitional B,0.866359625727743,0.8741888622631409,0.8861972422673352,0.8587159244305924
"scglue(multiome,batch)",Normoblast,0.9042386500154124,0.9019424165476707,0.915969608100076,0.9193212379664366
"scglue(multiome,batch)",G/M prog,0.8878734350499977,0.7029289853269574,0.7621380386651073,0.9013608956498067
"scglue(multiome,batch)",MK/E prog,0.9238760022937118,0.8958409702255338,0.9117976254762206,0.9055729475594907
"scglue(multiome,batch)",HSC,0.9426691562840604,0.9201324863317377,0.9367564286652037,0.8559721090544798
"scglue(multiome,batch)",pDC,0.9492593069684901,0.9554014406354092,0.9641948632516563,0.9106173441795465
