pipeline,CD56 (bright) NK cells,CD56 (dim) NK cells,classical monocytes,effector CD8 T cells,intermediate monocytes,memory B cells,memory CD4 T cells,myeloid DC,naive B cells,naive CD4 T cells,naive CD8 T cells,non-classical monocytes,overall,accu_average,k value
scBridge,0.9760956175298804,0.9326599326599326,0.9819897084048028,0.3776824034334764,0.206266318537859,0.9871244635193132,0.9361702127659576,0.7987012987012987,0.988950276243094,0.9148230088495576,0.9751887810140236,0.8863636363636364,0.8782475802343352,0.2487091729107826,5
scDART,0.848605577689243,0.8956228956228957,0.8044596912521441,0.630901287553648,0.3289817232375979,0.0214592274678111,0.0053191489361702,0.0779220779220779,0.0773480662983425,0.7079646017699115,0.0539374325782092,0.4090909090909091,0.4255391407709288,0.3403561869550947,5
scJoint,0.9840637450199204,0.925925925925926,0.91852487135506,0.5493562231759657,0.1540469973890339,0.9957081545064378,0.9297872340425531,0.2532467532467532,0.3204419889502762,0.8694690265486725,0.948220064724919,0.0045454545454545,0.7894379351332994,0.3574482330333676,5
scMoMaT,0.8565737051792829,0.8417508417508418,0.9202401372212692,0.4034334763948498,0.1618798955613577,0.9098712446351932,0.8691489361702127,0.474025974025974,0.7403314917127072,0.9015486725663716,0.5879180151024811,0.0727272727272727,0.7311937510613007,0.2895804776536129,5
scVI,0.9681274900398408,0.9225589225589226,0.9356775300171528,0.7639484978540773,0.7258485639686684,0.9785407725321889,0.9617021276595744,0.7987012987012987,0.9558011049723756,0.8904867256637168,0.970873786407767,0.9136363636363636,0.9166242146374596,0.08361412462118294,5
scglue,0.9840637450199204,0.9393939393939394,0.9451114922813036,0.7854077253218884,0.5639686684073107,0.9785407725321889,0.9702127659574468,0.8181818181818182,0.9779005524861878,0.8893805309734514,0.9633225458468176,0.6454545454545455,0.9015112922397692,0.135369555713557,5
scglue(multiome),0.9920318725099602,0.898989898989899,0.9339622641509434,0.7725321888412017,0.762402088772846,0.9742489270386266,0.9872340425531916,0.8766233766233766,0.994475138121547,0.8805309734513275,0.964401294498382,0.9181818181818182,0.9235863474274072,0.0765067664399519,5
simba,0.9760956175298804,0.9629629629629628,0.8902229845626072,0.3476394849785407,0.6109660574412533,0.9785407725321889,0.951063829787234,0.6948051948051948,0.9226519337016574,0.9015486725663716,0.918015102481122,0.6954545454545454,0.8658515877058923,0.18637767751058654,5
BindSC,0.9760956175298804,0.9326599326599326,0.9108061749571184,0.2360515021459227,0.5404699738903395,0.9012875536480688,0.9776595744680852,0.8766233766233766,0.9005524861878453,0.8108407079646017,0.9439050701186624,0.8909090909090909,0.8621158091356766,0.20932059367596428,10
Cobolt,0.9482071713147412,0.8888888888888888,0.9288164665523156,0.776824034334764,0.6945169712793734,0.9742489270386266,0.9648936170212766,0.9025974025974026,0.9723756906077348,0.9015486725663716,0.9676375404530744,0.9409090909090908,0.9169638308711155,0.0824512016404106,10
Conos,0.9880478087649402,0.7811447811447811,0.9922813036020584,0.759656652360515,0.1201044386422976,0.9871244635193132,0.7712765957446809,0.4805194805194805,0.585635359116022,0.0121681415929203,0.9902912621359224,0.0227272727272727,0.6671760910171506,0.3663802458052794,10
LIGER,0.900398406374502,0.9427609427609428,0.0,0.0,0.5536480686695279,0.660574412532637,0.9012875536480688,0.952127659574468,0.6883116883116883,0.5580110497237569,0.8639380530973452,0.6558791801510249,0.6316861946001019,0.26375301003039103,10
MinNet,0.9880478087649402,0.9191919191919192,0.7813036020583191,0.6437768240343348,0.587467362924282,0.96137339055794,0.9148936170212766,0.6493506493506493,0.8895027624309392,0.7842920353982301,0.8640776699029126,0.6772727272727272,0.8169468500594328,0.13183040810933416,10
MultiMAP,0.1314741035856573,0.2154882154882154,0.5540308747855918,0.1845493562231759,0.248041775456919,0.4334763948497854,0.4882978723404255,0.1558441558441558,0.3922651933701657,0.1880530973451327,0.1801510248112189,0.0818181818181818,0.3211071489217184,0.14808856132476664,10
Portal,0.9880478087649402,0.8653198653198653,0.9562607204116638,0.4034334763948498,0.4203655352480417,0.965665236051502,0.9297872340425531,0.7012987012987013,0.9558011049723756,0.8971238938053098,0.889967637540453,0.6409090909090909,0.8544744438784174,0.20136200695352052,10
Seurat(CCA),0.9282868525896414,0.9326599326599326,0.8653516295025729,0.463519313304721,0.4882506527415143,0.9313304721030042,0.9,0.5194805194805194,0.9337016574585636,0.9258849557522124,0.941747572815534,0.8272727272727273,0.8520971302428256,0.18460695444914102,10
Seurat(WNN),0.8087649402390438,0.6531986531986532,0.8927958833619211,0.1158798283261802,0.3289817232375979,0.7124463519313304,0.7819148936170213,0.4025974025974026,0.6740331491712708,0.7809734513274337,0.4530744336569579,0.6045454545454545,0.6681949397181185,0.22070032226363218,10
Unioncom,0.649402390438247,0.0033670033670033,0.0051457975986277,0.0171673819742489,0.0,0.2875536480686695,0.7882978723404256,0.474025974025974,0.0,0.0132743362831858,0.2664509169363538,0.8090909090909091,0.2533537103073527,0.31112228519370505,10
scBridge,0.9760956175298804,0.9326599326599326,0.981132075471698,0.3862660944206008,0.206266318537859,0.9871244635193132,0.9351063829787234,0.7987012987012987,0.988950276243094,0.915929203539823,0.9751887810140236,0.8863636363636364,0.8784173883511632,0.24736614560986,10
scDART,0.852589641434263,0.898989898989899,0.8087478559176673,0.6437768240343348,0.3263707571801567,0.0171673819742489,0.0053191489361702,0.0649350649350649,0.0773480662983425,0.7300884955752213,0.0496224379719525,0.4272727272727272,0.4299541518084564,0.34593518824776365,10
scJoint,0.9840637450199204,0.925925925925926,0.9176672384219554,0.5493562231759657,0.1514360313315927,0.9957081545064378,0.9297872340425531,0.2662337662337662,0.3204419889502762,0.8694690265486725,0.9460625674217908,0.0,0.7889285107828155,0.35704943952915547,10
scMoMaT,0.848605577689243,0.8518518518518519,0.9271012006861064,0.3648068669527897,0.1044386422976501,0.9141630901287554,0.8819148936170212,0.5,0.7569060773480663,0.9358407079646016,0.7195253505933118,0.0772727272727272,0.7570045848191543,0.3037858804908462,10
scVI,0.9641434262948207,0.925925925925926,0.9459691252144082,0.7896995708154506,0.7101827676240209,0.9871244635193132,0.9691489361702128,0.7857142857142857,0.9779005524861878,0.8938053097345132,0.9730312837108952,0.9272727272727272,0.9218882662591272,0.0878002079911535,10
scglue,0.9800796812749004,0.9494949494949496,0.9502572898799314,0.7725321888412017,0.5509138381201044,0.9785407725321889,0.9723404255319148,0.8181818181818182,0.9779005524861878,0.8971238938053098,0.9622437971952535,0.6318181818181818,0.9023603328239088,0.1410530385985475,10
scglue(multiome),0.9880478087649402,0.9124579124579124,0.932246998284734,0.776824034334764,0.7597911227154047,0.9699570815450644,0.9861702127659574,0.8896103896103896,1.0,0.8772123893805309,0.964401294498382,0.9136363636363636,0.9232467311937512,0.07563063127227578,10
simba,0.9760956175298804,0.9595959595959596,0.9005145797598628,0.3605150214592275,0.5900783289817232,0.9742489270386266,0.95,0.7272727272727273,0.9281767955801103,0.9048672566371682,0.9277238403451996,0.7090909090909091,0.870096790626592,0.18394734689801248,10
BindSC,0.9800796812749004,0.925925925925926,0.9142367066895368,0.1974248927038626,0.5013054830287206,0.8969957081545065,0.9797872340425532,0.8701298701298701,0.9116022099447514,0.8185840707964602,0.941747572815534,0.9090909090909092,0.8604177279673968,0.2236094581882898,20
Cobolt,0.952191235059761,0.9023569023569024,0.9356775300171528,0.776824034334764,0.7023498694516971,0.9742489270386266,0.9680851063829788,0.8896103896103896,0.9723756906077348,0.9048672566371682,0.9676375404530744,0.9409090909090908,0.9203599932076754,0.08132974073755143,20
Conos,0.9880478087649402,0.8316498316498316,0.9905660377358492,0.7167381974248928,0.0861618798955613,0.9914163090128756,0.874468085106383,0.551948051948052,0.6298342541436464,0.0121681415929203,0.9838187702265372,0.0227272727272727,0.6843267108167771,0.3733992368610187,20
LIGER,0.8924302788844621,0.9629629629629628,0.0,0.0,0.4721030042918455,0.6840731070496083,0.927038626609442,0.9617021276595744,0.564935064935065,0.56353591160221,0.8650442477876106,0.6731391585760518,0.6337238920020377,0.27495806675541473,20
MinNet,0.9840637450199204,0.9528619528619529,0.79073756432247,0.592274678111588,0.577023498694517,0.96137339055794,0.9191489361702128,0.6363636363636364,0.9005524861878453,0.7809734513274337,0.8694714131607335,0.6909090909090909,0.8191543555781966,0.14264055510940454,20
MultiMAP,0.1274900398406374,0.2154882154882154,0.5574614065180102,0.1802575107296137,0.2454308093994778,0.4291845493562232,0.4904255319148936,0.1558441558441558,0.3867403314917127,0.1880530973451327,0.1790722761596548,0.0772727272727272,0.3209373408048904,0.14924297093794034,20
Portal,0.9840637450199204,0.8686868686868687,0.9605488850771868,0.3905579399141631,0.4308093994778068,0.965665236051502,0.9319148936170212,0.6818181818181818,0.9558011049723756,0.9037610619469026,0.8824163969795038,0.6409090909090909,0.8551536763457294,0.20295179904646274,20
Seurat(CCA),0.9243027888446216,0.936026936026936,0.8679245283018868,0.463519313304721,0.4621409921671018,0.927038626609442,0.8957446808510638,0.487012987012987,0.9337016574585636,0.9303097345132744,0.9471413160733548,0.8227272727272728,0.8505688571913738,0.19283548968872755,20
Seurat(WNN),0.8087649402390438,0.6531986531986532,0.8927958833619211,0.1201716738197424,0.3289817232375979,0.7124463519313304,0.7882978723404256,0.4090909090909091,0.6850828729281768,0.7820796460176991,0.4617044228694714,0.6045454545454545,0.6714212939378502,0.21979689215534276,20
Unioncom,0.6733067729083665,0.0,0.0094339622641509,0.0214592274678111,0.0,0.296137339055794,0.798936170212766,0.3441558441558441,0.0,0.0232300884955752,0.0463861920172599,0.8363636363636363,0.2217694005773476,0.3195854702422554,20
scBridge,0.9760956175298804,0.9326599326599326,0.981132075471698,0.3733905579399141,0.206266318537859,0.9871244635193132,0.9351063829787234,0.7987012987012987,0.988950276243094,0.913716814159292,0.9741100323624596,0.8863636363636364,0.8773985396501953,0.24919699408852608,20
scDART,0.852589641434263,0.8922558922558923,0.8061749571183533,0.6351931330472103,0.3315926892950391,0.0214592274678111,0.0063829787234042,0.0389610389610389,0.0939226519337016,0.7422566371681416,0.0496224379719525,0.4227272727272727,0.4309730005094243,0.34569788525093303,20
scJoint,0.9840637450199204,0.9292929292929292,0.921097770154374,0.5493562231759657,0.1566579634464752,0.9957081545064378,0.9297872340425531,0.2467532467532467,0.3204419889502762,0.8727876106194691,0.9471413160733548,0.0,0.7902869757174393,0.3589123072137347,20
scMoMaT,0.8565737051792829,0.8720538720538721,0.9279588336192108,0.2746781115879828,0.0574412532637075,0.9012875536480688,0.8702127659574468,0.4935064935064935,0.7790055248618785,0.9402654867256636,0.8025889967637541,0.0909090909090909,0.7643063338427577,0.3206448763270444,20
scVI,0.9641434262948207,0.9191919191919192,0.9493996569468268,0.7467811158798283,0.7232375979112271,0.9828326180257512,0.9765957446808512,0.7792207792207793,0.9834254143646408,0.8838495575221239,0.9719525350593312,0.9181818181818182,0.9203599932076754,0.09205435166489812,20
scglue,0.9800796812749004,0.9494949494949496,0.9562607204116638,0.7081545064377682,0.5535248041775457,0.9828326180257512,0.9776595744680852,0.8181818181818182,0.9779005524861878,0.9070796460176992,0.965480043149946,0.5954545454545455,0.9028697571743928,0.15175644660766693,20
scglue(multiome),0.9840637450199204,0.915824915824916,0.9382504288164666,0.6952789699570815,0.7676240208877284,0.9699570815450644,0.9872340425531916,0.8571428571428571,0.994475138121547,0.8915929203539823,0.9697950377562028,0.9,0.9234165393105792,0.08944248733276208,20
simba,0.9800796812749004,0.9494949494949496,0.9090909090909092,0.3562231759656652,0.5926892950391645,0.9699570815450644,0.947872340425532,0.7142857142857143,0.9116022099447514,0.9004424778761062,0.9341963322545846,0.7318181818181818,0.8712854474443879,0.18314510536461903,20
BindSC,0.9800796812749004,0.9326599326599326,0.9116638078902228,0.1459227467811159,0.4856396866840731,0.9012875536480688,0.9776595744680852,0.8701298701298701,0.9226519337016574,0.8296460176991151,0.9406688241639698,0.9227272727272728,0.8593988792664289,0.23850010362661653,40
Cobolt,0.952191235059761,0.8956228956228957,0.9399656946826758,0.721030042918455,0.6788511749347258,0.9742489270386266,0.9670212765957448,0.8766233766233766,0.9779005524861878,0.9059734513274336,0.9676375404530744,0.9363636363636364,0.9167940227542876,0.09479202771384164,40
Conos,0.9920318725099602,0.8686868686868687,0.9845626072041166,0.6866952789699571,0.1044386422976501,0.9914163090128756,0.9308510638297872,0.551948051948052,0.4475138121546961,0.0121681415929203,0.9730312837108952,0.0227272727272727,0.6868738325691968,0.3787999056997445,40
LIGER,0.8884462151394422,0.9730639730639732,0.0,0.0,0.4163090128755364,0.6919060052219321,0.9399141630901288,0.9691489361702128,0.487012987012987,0.5082872928176796,0.8683628318584071,0.6785329018338727,0.6318560027169299,0.28832885470953534,40
MinNet,0.9800796812749004,0.9629629629629628,0.7950257289879932,0.51931330472103,0.5822454308093995,0.96137339055794,0.9223404255319148,0.6038961038961039,0.9005524861878453,0.7643805309734514,0.8759439050701187,0.7045454545454546,0.8164374257089488,0.15569040546058713,40
MultiMAP,0.1274900398406374,0.2188552188552188,0.5583190394511149,0.1802575107296137,0.2428198433420365,0.4291845493562232,0.4925531914893617,0.1493506493506493,0.3867403314917127,0.1858407079646017,0.1769147788565264,0.0772727272727272,0.3205977245712345,0.1502147348767997,40
Portal,0.9840637450199204,0.8686868686868687,0.9639794168096056,0.3175965665236051,0.433420365535248,0.9699570815450644,0.9351063829787234,0.6558441558441559,0.9558011049723756,0.90929203539823,0.8888888888888888,0.6636363636363637,0.8558329088130413,0.21659770885994306,40
Seurat(CCA),0.9282868525896414,0.9326599326599326,0.8730703259005146,0.4377682403433476,0.4673629242819843,0.927038626609442,0.8968085106382979,0.4545454545454545,0.9337016574585636,0.9369469026548672,0.952535059331176,0.8227272727272728,0.8520971302428256,0.20133036865808185,40
Seurat(WNN),0.8087649402390438,0.6531986531986532,0.8936535162950258,0.1201716738197424,0.3289817232375979,0.7124463519313304,0.7893617021276595,0.4090909090909091,0.6850828729281768,0.7820796460176991,0.4584681769147788,0.6045454545454545,0.6712514858210222,0.22014173274644888,40
Unioncom,0.6772908366533864,0.0,0.0145797598627787,0.0214592274678111,0.0,0.3304721030042918,0.8117021276595745,0.2662337662337662,0.0,0.0243362831858407,0.0258899676375404,0.8545454545454545,0.2219392086941755,0.3248776271405219,40
scBridge,0.9760956175298804,0.9326599326599326,0.981132075471698,0.3648068669527897,0.2088772845953002,0.9828326180257512,0.9361702127659576,0.7987012987012987,0.988950276243094,0.9170353982300884,0.9730312837108952,0.8863636363636364,0.8775683477670233,0.24983191467558294,40
scDART,0.8366533864541833,0.9057239057239056,0.8061749571183533,0.6223175965665236,0.3446475195822454,0.0214592274678111,0.0063829787234042,0.0324675324675324,0.0939226519337016,0.7389380530973452,0.0507011866235167,0.4272727272727272,0.4309730005094243,0.34495017767528424,40
scJoint,0.9840637450199204,0.9292929292929292,0.9219554030874786,0.5493562231759657,0.1566579634464752,0.9957081545064378,0.9297872340425531,0.2337662337662337,0.3204419889502762,0.8727876106194691,0.9471413160733548,0.0,0.7901171676006113,0.36021057922605065,40
scMoMaT,0.8685258964143426,0.8619528619528619,0.921097770154374,0.2317596566523605,0.0339425587467362,0.9055793991416308,0.8595744680851064,0.474025974025974,0.8011049723756906,0.9391592920353984,0.837108953613808,0.0818181818181818,0.7632874851417898,0.3323023500609516,40
scVI,0.9641434262948207,0.9191919191919192,0.9554030874785592,0.7381974248927039,0.7101827676240209,0.9828326180257512,0.9787234042553192,0.7922077922077922,0.988950276243094,0.8915929203539823,0.9719525350593312,0.9227272727272728,0.9225674987264392,0.09491028855403337,40
scglue,0.9721115537848606,0.9562289562289562,0.9571183533447684,0.6137339055793991,0.5352480417754569,0.9785407725321889,0.9808510638297872,0.7727272727272727,0.9834254143646408,0.913716814159292,0.9730312837108952,0.5954545454545455,0.8996434029546613,0.16680386495869856,40
scglue(multiome),0.9920318725099602,0.9225589225589226,0.9391080617495712,0.5836909871244635,0.7597911227154047,0.96137339055794,0.9851063829787234,0.8246753246753247,0.994475138121547,0.8960176991150443,0.9600862998921252,0.8863636363636364,0.9164544065206316,0.11506946364364465,40
simba,0.9760956175298804,0.9562289562289562,0.9150943396226416,0.3390557939914163,0.5587467362924282,0.965665236051502,0.952127659574468,0.7207792207792207,0.9337016574585636,0.8949115044247787,0.9374325782092772,0.7318181818181818,0.8707760230939039,0.1914876355953304,40
BindSC,0.9840637450199204,0.925925925925926,0.9125214408233276,0.1030042918454935,0.454308093994778,0.9055793991416308,0.9797872340425532,0.8896103896103896,0.9226519337016574,0.8296460176991151,0.9449838187702264,0.9363636363636364,0.8578706062149771,0.25360446198842873,80
Cobolt,0.9561752988047808,0.9057239057239056,0.9459691252144082,0.648068669527897,0.6710182767624021,0.9742489270386266,0.9691489361702128,0.8636363636363636,0.9779005524861878,0.9037610619469026,0.9687162891046386,0.9136363636363636,0.914246901001868,0.10914210528829643,80
Conos,0.9920318725099602,0.8922558922558923,0.983704974271012,0.6781115879828327,0.0861618798955613,0.9914163090128756,0.9319148936170212,0.525974025974026,0.3370165745856354,0.0121681415929203,0.9741100323624596,0.0181818181818181,0.6824588215316693,0.38883892620094634,80
LIGER,0.8884462151394422,0.9797979797979798,0.0,0.0,0.3047210300429184,0.6866840731070496,0.9484978540772532,0.9702127659574468,0.512987012987013,0.4861878453038674,0.8639380530973452,0.6871628910463862,0.629988113431822,0.30002732523182807,80
MinNet,0.9800796812749004,0.9663299663299664,0.823327615780446,0.3862660944206008,0.5430809399477807,0.96137339055794,0.9159574468085108,0.577922077922078,0.9060773480662984,0.7533185840707964,0.8748651564185544,0.7454545454545455,0.8125318390219053,0.1840164087550467,80
MultiMAP,0.1274900398406374,0.2188552188552188,0.5591766723842195,0.1802575107296137,0.2454308093994778,0.4248927038626609,0.4936170212765957,0.1493506493506493,0.3867403314917127,0.1858407079646017,0.1758360302049622,0.0772727272727272,0.3207675326880624,0.1501278247124278,80
Portal,0.9840637450199204,0.8653198653198653,0.9665523156089194,0.2489270386266094,0.3890339425587467,0.9699570815450644,0.9404255319148936,0.6233766233766234,0.9502762430939228,0.913716814159292,0.8921251348435815,0.6681818181818182,0.8517575140091697,0.23746784273681906,80
Seurat(CCA),0.9282868525896414,0.936026936026936,0.8790737564322469,0.4120171673819742,0.443864229765013,0.927038626609442,0.8936170212765957,0.448051948051948,0.9337016574585636,0.9347345132743364,0.948220064724919,0.8227272727272728,0.8492103922567499,0.2091943508979827,80
Seurat(WNN),0.8047808764940239,0.6531986531986532,0.8936535162950258,0.111587982832618,0.3289817232375979,0.7124463519313304,0.7914893617021277,0.4090909090909091,0.6850828729281768,0.7820796460176991,0.4584681769147788,0.6045454545454545,0.6710816777041942,0.22156509267892435,80
Unioncom,0.6693227091633466,0.0,0.0145797598627787,0.0128755364806866,0.0,0.3776824034334764,0.8191489361702128,0.2337662337662337,0.0,0.0254424778761061,0.0323624595469255,0.8636363636363636,0.2249957547970793,0.32782391790773974,80
scBridge,0.9760956175298804,0.9326599326599326,0.981132075471698,0.3690987124463519,0.2088772845953002,0.9828326180257512,0.9351063829787234,0.7987012987012987,0.988950276243094,0.9170353982300884,0.9719525350593312,0.8863636363636364,0.8773985396501953,0.2490798699745503,80
scDART,0.8326693227091634,0.9393939393939394,0.8018867924528302,0.6008583690987125,0.3577023498694517,0.0214592274678111,0.0074468085106382,0.0259740259740259,0.0994475138121546,0.7466814159292036,0.0453074433656957,0.4363636363636363,0.4325012735608762,0.34828442265621773,80
scJoint,0.9840637450199204,0.9292929292929292,0.9219554030874786,0.5493562231759657,0.1566579634464752,0.9957081545064378,0.9297872340425531,0.2337662337662337,0.3204419889502762,0.8716814159292036,0.948220064724919,0.0,0.7901171676006113,0.3602280180597054,80
scMoMaT,0.8725099601593626,0.8754208754208754,0.9142367066895368,0.1502145922746781,0.02088772845953,0.8927038626609443,0.8531914893617021,0.4285714285714285,0.8121546961325967,0.9369469026548672,0.8500539374325782,0.0409090909090909,0.7564951604686704,0.35150298313947503,80
scVI,0.9641434262948207,0.9292929292929292,0.9588336192109777,0.6223175965665236,0.660574412532637,0.9828326180257512,0.9787234042553192,0.7597402597402597,0.994475138121547,0.8915929203539823,0.9795037756202803,0.9227272727272728,0.9164544065206316,0.12563924688460174,80
scglue,0.9681274900398408,0.9562289562289562,0.9622641509433962,0.5321888412017167,0.5091383812010444,0.9742489270386266,0.975531914893617,0.7402597402597403,0.9779005524861878,0.9236725663716814,0.976267529665588,0.6045454545454545,0.8959076243844456,0.18152640088394623,80
scglue(multiome),0.9920318725099602,0.915824915824916,0.9408233276157804,0.5236051502145923,0.7362924281984334,0.96137339055794,0.9829787234042552,0.7597402597402597,0.994475138121547,0.8993362831858407,0.9622437971952535,0.8863636363636364,0.911360163015792,0.13452782423582504,80
simba,0.9800796812749004,0.9528619528619529,0.921097770154374,0.3261802575107296,0.5352480417754569,0.965665236051502,0.952127659574468,0.7207792207792207,0.9337016574585636,0.8949115044247787,0.9352750809061487,0.7454545454545455,0.870096790626592,0.196702107156186,80
