pipeline,accuracy,type,k value
MaxFuse,0.6824034334763949,effector CD8 T cells,40
MaxFuse,0.5822454308093995,intermediate monocytes,40
MaxFuse,0.9699570815450643,memory B cells,40
MaxFuse,0.9702127659574468,memory CD4 T cells,40
MaxFuse,0.8766233766233766,myeloid DC,40
MaxFuse,0.988950276243094,naive B cells,40
MaxFuse,0.9070796460176991,naive CD4 T cells,40
MaxFuse,0.9633225458468176,naive CD8 T cells,40
MaxFuse,0.8590909090909091,non-classical monocytes,40
MaxFuse,0.9079640006792324,overall,80
MaxFuse,0.9840637450199203,CD56 (bright) NK cells,80
MaxFuse,0.8922558922558923,CD56 (dim) NK cells,80
MaxFuse,0.9639794168096055,classical monocytes,80
MaxFuse,0.6437768240343348,effector CD8 T cells,80
MaxFuse,0.5639686684073107,intermediate monocytes,80
MaxFuse,0.9742489270386266,memory B cells,80
MaxFuse,0.9659574468085106,memory CD4 T cells,80
MaxFuse,0.8571428571428571,myeloid DC,80
MaxFuse,0.988950276243094,naive B cells,80
MaxFuse,0.9059734513274337,naive CD4 T cells,80
MaxFuse,0.9622437971952535,naive CD8 T cells,80
MaxFuse,0.8545454545454545,non-classical monocytes,80
MIDAS,0.8977755136695534,overall,5
MIDAS,0.952191235059761,CD56 (bright) NK cells,5
MIDAS,0.9057239057239057,CD56 (dim) NK cells,5
MIDAS,0.9442538593481989,classical monocytes,5
MIDAS,0.703862660944206,effector CD8 T cells,5
MIDAS,0.6475195822454308,intermediate monocytes,5
MIDAS,0.9527896995708155,memory B cells,5
MIDAS,0.924468085106383,memory CD4 T cells,5
MIDAS,0.7662337662337663,myeloid DC,5
MIDAS,0.9392265193370166,naive B cells,5
MIDAS,0.9424778761061947,naive CD4 T cells,5
MIDAS,0.9050701186623517,naive CD8 T cells,5
MIDAS,0.8909090909090909,non-classical monocytes,5
MIDAS,0.9028697571743929,overall,10
MIDAS,0.9721115537848606,CD56 (bright) NK cells,10
MIDAS,0.9326599326599326,CD56 (dim) NK cells,10
MIDAS,0.9493996569468267,classical monocytes,10
MIDAS,0.6824034334763949,effector CD8 T cells,10
MIDAS,0.6292428198433421,intermediate monocytes,10
MIDAS,0.9656652360515021,memory B cells,10
MIDAS,0.9425531914893617,memory CD4 T cells,10
MIDAS,0.7467532467532467,myeloid DC,10
MIDAS,0.9281767955801105,naive B cells,10
MIDAS,0.9457964601769911,naive CD4 T cells,10
MIDAS,0.9072276159654801,naive CD8 T cells,10
MIDAS,0.9045454545454545,non-classical monocytes,10
MIDAS,0.9003226354219732,overall,20
MIDAS,0.9681274900398407,CD56 (bright) NK cells,20
MIDAS,0.9225589225589226,CD56 (dim) NK cells,20
MIDAS,0.9579759862778731,classical monocytes,20
MIDAS,0.6523605150214592,effector CD8 T cells,20
MIDAS,0.6135770234986945,intermediate monocytes,20
MIDAS,0.9656652360515021,memory B cells,20
MIDAS,0.9382978723404255,memory CD4 T cells,20
MIDAS,0.7467532467532467,myeloid DC,20
MIDAS,0.9281767955801105,naive B cells,20
MIDAS,0.9435840707964602,naive CD4 T cells,20
MIDAS,0.9050701186623517,naive CD8 T cells,20
MIDAS,0.9045454545454545,non-classical monocytes,20
MIDAS,0.8993037867210053,overall,40
MIDAS,0.9561752988047809,CD56 (bright) NK cells,40
MIDAS,0.9259259259259259,CD56 (dim) NK cells,40
MIDAS,0.9665523156089194,classical monocytes,40
MIDAS,0.6008583690987125,effector CD8 T cells,40
MIDAS,0.5900783289817232,intermediate monocytes,40
MIDAS,0.9742489270386266,memory B cells,40
MIDAS,0.9436170212765957,memory CD4 T cells,40
MIDAS,0.7467532467532467,myeloid DC,40
MIDAS,0.9226519337016574,naive B cells,40
MIDAS,0.9435840707964602,naive CD4 T cells,40
MIDAS,0.9072276159654801,naive CD8 T cells,40
MIDAS,0.9,non-classical monocytes,40
MIDAS,0.8948887756834777,overall,80
MIDAS,0.9482071713147411,CD56 (bright) NK cells,80
MIDAS,0.9326599326599326,CD56 (dim) NK cells,80
MIDAS,0.9682675814751286,classical monocytes,80
MIDAS,0.5708154506437768,effector CD8 T cells,80
MIDAS,0.5691906005221932,intermediate monocytes,80
MIDAS,0.9613733905579399,memory B cells,80
MIDAS,0.9457446808510638,memory CD4 T cells,80
MIDAS,0.7207792207792207,myeloid DC,80
MIDAS,0.9281767955801105,naive B cells,80
MIDAS,0.9380530973451328,naive CD4 T cells,80
MIDAS,0.9018338727076591,naive CD8 T cells,80
MIDAS,0.9045454545454545,non-classical monocytes,80
scButterfly,0.9052470708099847,overall,5
scButterfly,0.9123505976095617,CD56 (bright) NK cells,5
scButterfly,0.9663299663299664,CD56 (dim) NK cells,5
scButterfly,0.9716981132075472,classical monocytes,5
scButterfly,0.8540772532188842,effector CD8 T cells,5
scButterfly,0.4804177545691906,intermediate monocytes,5
scButterfly,0.9699570815450643,memory B cells,5
scButterfly,0.9234042553191489,memory CD4 T cells,5
scButterfly,0.8506493506493507,myeloid DC,5
scButterfly,0.9723756906077348,naive B cells,5
scButterfly,0.918141592920354,naive CD4 T cells,5
scButterfly,0.9741100323624595,naive CD8 T cells,5
scButterfly,0.75,non-classical monocytes,5
scButterfly,0.9103413143148242,overall,10
scButterfly,0.9362549800796812,CD56 (bright) NK cells,10
scButterfly,0.9663299663299664,CD56 (dim) NK cells,10
scButterfly,0.9768439108061749,classical monocytes,10
scButterfly,0.8669527896995708,effector CD8 T cells,10
scButterfly,0.5091383812010444,intermediate monocytes,10
scButterfly,0.9785407725321889,memory B cells,10
scButterfly,0.924468085106383,memory CD4 T cells,10
scButterfly,0.8506493506493507,myeloid DC,10
scButterfly,0.9723756906077348,naive B cells,10
scButterfly,0.9214601769911505,naive CD4 T cells,10
scButterfly,0.9719525350593312,naive CD8 T cells,10
scButterfly,0.75,non-classical monocytes,10
scButterfly,0.9118695873662761,overall,20
scButterfly,0.9322709163346613,CD56 (bright) NK cells,20
scButterfly,0.9797979797979798,CD56 (dim) NK cells,20
scButterfly,0.9768439108061749,classical monocytes,20
scButterfly,0.8969957081545065,effector CD8 T cells,20
scButterfly,0.5169712793733682,intermediate monocytes,20
scButterfly,0.9871244635193133,memory B cells,20
scButterfly,0.926595744680851,memory CD4 T cells,20
scButterfly,0.7727272727272727,myeloid DC,20
scButterfly,0.9723756906077348,naive B cells,20
scButterfly,0.9236725663716814,naive CD4 T cells,20
scButterfly,0.9719525350593312,naive CD8 T cells,20
scButterfly,0.759090909090909,non-classical monocytes,20
scButterfly,0.9111903548989642,overall,40
scButterfly,0.9322709163346613,CD56 (bright) NK cells,40
scButterfly,0.9797979797979798,CD56 (dim) NK cells,40
scButterfly,0.9777015437392796,classical monocytes,40
scButterfly,0.8798283261802575,effector CD8 T cells,40
scButterfly,0.5195822454308094,intermediate monocytes,40
scButterfly,0.9871244635193133,memory B cells,40
scButterfly,0.9287234042553192,memory CD4 T cells,40
scButterfly,0.7337662337662337,myeloid DC,40
scButterfly,0.9723756906077348,naive B cells,40
scButterfly,0.9236725663716814,naive CD4 T cells,40
scButterfly,0.970873786407767,naive CD8 T cells,40
scButterfly,0.7727272727272727,non-classical monocytes,40
scButterfly,0.9118695873662761,overall,80
scButterfly,0.9442231075697212,CD56 (bright) NK cells,80
scButterfly,0.9764309764309764,CD56 (dim) NK cells,80
scButterfly,0.9785591766723842,classical monocytes,80
scButterfly,0.8497854077253219,effector CD8 T cells,80
scButterfly,0.5378590078328982,intermediate monocytes,80
scButterfly,0.9871244635193133,memory B cells,80
scButterfly,0.9297872340425531,memory CD4 T cells,80
scButterfly,0.6688311688311688,myeloid DC,80
scButterfly,0.9613259668508287,naive B cells,80
scButterfly,0.9247787610619469,naive CD4 T cells,80
scButterfly,0.970873786407767,naive CD8 T cells,80
scButterfly,0.8227272727272728,non-classical monocytes,80
MIRA,0.8329088130412634,overall,5
MIRA,0.9083665338645418,CD56 (bright) NK cells,5
MIRA,0.7474747474747475,CD56 (dim) NK cells,5
MIRA,0.8653516295025729,classical monocytes,5
MIRA,0.7339055793991416,effector CD8 T cells,5
MIRA,0.7806788511749347,intermediate monocytes,5
MIRA,0.9656652360515021,memory B cells,5
MIRA,0.9319148936170213,memory CD4 T cells,5
MIRA,0.6363636363636364,myeloid DC,5
MIRA,0.8839779005524862,naive B cells,5
MIRA,0.8119469026548672,naive CD4 T cells,5
MIRA,0.9503775620280475,naive CD8 T cells,5
MIRA,0.00909090909090909,non-classical monocytes,5
MIRA,0.8439463406350823,overall,10
MIRA,0.9123505976095617,CD56 (bright) NK cells,10
MIRA,0.7744107744107744,CD56 (dim) NK cells,10
MIRA,0.8876500857632933,classical monocytes,10
MIRA,0.7339055793991416,effector CD8 T cells,10
MIRA,0.7702349869451697,intermediate monocytes,10
MIRA,0.9699570815450643,memory B cells,10
MIRA,0.9351063829787234,memory CD4 T cells,10
MIRA,0.6688311688311688,myeloid DC,10
MIRA,0.8839779005524862,naive B cells,10
MIRA,0.8263274336283186,naive CD4 T cells,10
MIRA,0.9633225458468176,naive CD8 T cells,10
MIRA,0.00909090909090909,non-classical monocytes,10
MIRA,0.848191543555782,overall,20
MIRA,0.9243027888446215,CD56 (bright) NK cells,20
MIRA,0.8181818181818182,CD56 (dim) NK cells,20
MIRA,0.8962264150943396,classical monocytes,20
MIRA,0.721030042918455,effector CD8 T cells,20
MIRA,0.7545691906005222,intermediate monocytes,20
MIRA,0.9699570815450643,memory B cells,20
MIRA,0.9382978723404255,memory CD4 T cells,20
MIRA,0.6168831168831169,myeloid DC,20
MIRA,0.8895027624309392,naive B cells,20
MIRA,0.8351769911504425,naive CD4 T cells,20
MIRA,0.9665587918015103,naive CD8 T cells,20
MIRA,0.013636363636363636,non-classical monocytes,20
MIRA,0.8509084734250297,overall,40
MIRA,0.9243027888446215,CD56 (bright) NK cells,40
MIRA,0.8383838383838383,CD56 (dim) NK cells,40
MIRA,0.9065180102915952,classical monocytes,40
MIRA,0.703862660944206,effector CD8 T cells,40
MIRA,0.7441253263707572,intermediate monocytes,40
MIRA,0.9699570815450643,memory B cells,40
MIRA,0.9393617021276596,memory CD4 T cells,40
MIRA,0.577922077922078,myeloid DC,40
MIRA,0.8839779005524862,naive B cells,40
MIRA,0.8462389380530974,naive CD4 T cells,40
MIRA,0.9665587918015103,naive CD8 T cells,40
MIRA,0.022727272727272728,non-classical monocytes,40
MIRA,0.8534555951774495,overall,80
MIRA,0.9243027888446215,CD56 (bright) NK cells,80
MIRA,0.8686868686868687,CD56 (dim) NK cells,80
MIRA,0.9125214408233276,classical monocytes,80
MIRA,0.703862660944206,effector CD8 T cells,80
MIRA,0.7310704960835509,intermediate monocytes,80
MIRA,0.9656652360515021,memory B cells,80
MIRA,0.9425531914893617,memory CD4 T cells,80
MIRA,0.5454545454545454,myeloid DC,80
MIRA,0.8950276243093923,naive B cells,80
MIRA,0.8451327433628318,naive CD4 T cells,80
MIRA,0.9697950377562028,naive CD8 T cells,80
MIRA,0.03636363636363636,non-classical monocytes,80
Multigrate,0.49448123620309054,overall,5
Multigrate,0.9282868525896414,CD56 (bright) NK cells,5
Multigrate,0.5353535353535354,CD56 (dim) NK cells,5
Multigrate,0.758147512864494,classical monocytes,5
Multigrate,0.034334763948497854,effector CD8 T cells,5
Multigrate,0.1174934725848564,intermediate monocytes,5
Multigrate,0.5407725321888412,memory B cells,5
Multigrate,0.13297872340425532,memory CD4 T cells,5
Multigrate,0.17532467532467533,myeloid DC,5
Multigrate,0.3314917127071823,naive B cells,5
Multigrate,0.46349557522123896,naive CD4 T cells,5
Multigrate,0.889967637540453,naive CD8 T cells,5
Multigrate,0.004545454545454545,non-classical monocytes,5
Multigrate,0.5114620478858889,overall,10
Multigrate,0.9681274900398407,CD56 (bright) NK cells,10
Multigrate,0.3838383838383838,CD56 (dim) NK cells,10
Multigrate,0.8121783876500858,classical monocytes,10
Multigrate,0.19742489270386265,effector CD8 T cells,10
Multigrate,0.12532637075718014,intermediate monocytes,10
Multigrate,0.6008583690987125,memory B cells,10
Multigrate,0.15,memory CD4 T cells,10
Multigrate,0.1038961038961039,myeloid DC,10
Multigrate,0.3370165745856354,naive B cells,10
Multigrate,0.4823008849557522,naive CD4 T cells,10
Multigrate,0.8845738942826321,naive CD8 T cells,10
Multigrate,0.0,non-classical monocytes,10
Multigrate,0.5641025641025641,overall,20
Multigrate,0.9601593625498008,CD56 (bright) NK cells,20
Multigrate,0.32996632996632996,CD56 (dim) NK cells,20
Multigrate,0.8241852487135506,classical monocytes,20
Multigrate,0.30472103004291845,effector CD8 T cells,20
Multigrate,0.13054830287206268,intermediate monocytes,20
Multigrate,0.6008583690987125,memory B cells,20
Multigrate,0.3553191489361702,memory CD4 T cells,20
Multigrate,0.09090909090909091,myeloid DC,20
Multigrate,0.36464088397790057,naive B cells,20
Multigrate,0.6117256637168141,naive CD4 T cells,20
Multigrate,0.8565264293419633,naive CD8 T cells,20
Multigrate,0.0,non-classical monocytes,20
Multigrate,0.5999320767532688,overall,40
Multigrate,0.9641434262948207,CD56 (bright) NK cells,40
Multigrate,0.31313131313131315,CD56 (dim) NK cells,40
Multigrate,0.8379073756432247,classical monocytes,40
Multigrate,0.4034334763948498,effector CD8 T cells,40
Multigrate,0.1279373368146214,intermediate monocytes,40
Multigrate,0.5321888412017167,memory B cells,40
Multigrate,0.48723404255319147,memory CD4 T cells,40
Multigrate,0.08441558441558442,myeloid DC,40
Multigrate,0.43646408839779005,naive B cells,40
Multigrate,0.7190265486725663,naive CD4 T cells,40
Multigrate,0.8133764832793959,naive CD8 T cells,40
Multigrate,0.0,non-classical monocytes,40
Multigrate,0.6187807777211751,overall,80
Multigrate,0.9561752988047809,CD56 (bright) NK cells,80
Multigrate,0.3569023569023569,CD56 (dim) NK cells,80
Multigrate,0.8679245283018868,classical monocytes,80
Multigrate,0.37339055793991416,effector CD8 T cells,80
Multigrate,0.14882506527415143,intermediate monocytes,80
Multigrate,0.40772532188841204,memory B cells,80
Multigrate,0.5276595744680851,memory CD4 T cells,80
Multigrate,0.05194805194805195,myeloid DC,80
Multigrate,0.44751381215469616,naive B cells,80
Multigrate,0.8263274336283186,naive CD4 T cells,80
Multigrate,0.7713052858683926,naive CD8 T cells,80
Multigrate,0.0,non-classical monocytes,80
